Region_ID,Product,Region,Price,Units Sold,Sale Date,Product_ID,Sales
1,Product_36Product_45Product_45Product_33Product_13Product_34Product_2Product_13Product_35Product_36Product_13Product_2Product_46Product_6Product_22Product_44Product_12Product_19Product_1Product_39Product_43Product_13Product_43Product_21Product_35Product_50Product_21Product_30Product_35Product_9Product_7Product_4Product_16Product_20Product_46Product_46Product_41Product_1Product_42Product_42Product_30Product_1Product_9Product_5Product_39Product_43Product_17Product_5Product_2Product_49Product_22Product_50Product_15Product_37Product_7Product_40Product_14Product_9Product_46Product_50Product_39Product_6Product_6Product_27Product_29Product_20Product_10Product_34Product_30Product_1,Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1Region_1,5577.086338966589,663.0,2022-01-042022-01-062022-01-312022-02-122022-02-192022-03-192022-04-212022-04-242022-04-252022-05-252022-06-062022-06-122022-06-292022-07-012022-08-112022-08-252022-09-032022-09-162022-09-232022-09-262022-10-122022-10-232022-10-242022-11-162022-11-192022-11-222022-11-292022-12-012022-12-292023-02-102023-03-232023-03-312023-05-212023-05-312023-06-282023-06-302023-07-162023-07-182023-07-232023-07-262023-07-302023-09-022023-10-052023-10-262023-12-012023-12-022023-12-142023-12-152024-01-012024-01-082024-01-292024-02-182024-02-202024-02-242024-03-062024-04-052024-04-122024-04-132024-04-152024-04-202024-05-102024-05-132024-05-262024-07-042024-07-102024-07-112024-07-232024-07-252024-07-292024-08-22,36454533133421335361324662244121913943134321355021303597416204646411424230195394317524922501537740149465039662729201034301,51286.33478127428
10,Product_25Product_42Product_5Product_8Product_17Product_10Product_33Product_44Product_8Product_33Product_33Product_32Product_12Product_41Product_32Product_26Product_31Product_25Product_38Product_45Product_43Product_47Product_6Product_14Product_27Product_15Product_11Product_44Product_47Product_42Product_37Product_25Product_4Product_31Product_7Product_22Product_44Product_43Product_1Product_45Product_42Product_4Product_34Product_8Product_12Product_6Product_49Product_15Product_28Product_36Product_30Product_19Product_22Product_19Product_24Product_8Product_13Product_47Product_37Product_42Product_40Product_13Product_9Product_24Product_48Product_4Product_43Product_23Product_12Product_39Product_9Product_8Product_14Product_2Product_21Product_50Product_28Product_46Product_14Product_13Product_33Product_27Product_2Product_25Product_46Product_46Product_45Product_2,Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10Region_10,7751.812894167923,813.0,2022-02-092022-03-022022-03-042022-03-102022-03-132022-03-262022-04-072022-04-122022-05-232022-05-242022-06-042022-06-132022-06-232022-07-162022-07-182022-08-292022-09-062022-09-152022-11-112022-11-182022-11-262022-11-272022-12-062022-12-182022-12-212022-12-232023-01-072023-01-172023-01-242023-02-012023-02-132023-02-202023-02-232023-02-242023-03-022023-03-052023-03-172023-03-272023-04-132023-05-112023-06-042023-06-232023-06-292023-07-172023-07-312023-08-072023-08-142023-08-192023-08-252023-08-262023-09-012023-09-042023-09-292023-10-042023-10-202023-11-022023-11-082023-11-222023-11-232023-12-032024-01-042024-01-232024-01-312024-02-012024-02-282024-03-032024-03-042024-03-112024-03-122024-03-292024-04-192024-04-212024-04-252024-04-262024-05-072024-05-122024-05-192024-06-062024-06-082024-06-112024-06-202024-06-222024-07-152024-08-012024-08-052024-08-152024-08-262024-09-25,25425817103344833333212413226312538454347614271511444742372543172244431454243481264915283630192219248134737424013924484432312399814221502846141333272254646452,76958.93663524384
2,Product_9Product_3Product_1Product_50Product_6Product_34Product_10Product_48Product_2Product_1Product_24Product_49Product_17Product_24Product_23Product_34Product_38Product_5Product_29Product_20Product_3Product_45Product_43Product_35Product_45Product_48Product_36Product_7Product_2Product_39Product_46Product_26Product_29Product_23Product_19Product_5Product_22Product_14Product_7Product_19Product_46Product_35Product_43Product_5Product_2Product_12Product_39Product_44Product_14Product_49Product_17Product_27Product_25Product_13Product_43Product_24Product_41Product_16Product_16Product_32Product_30Product_31Product_41Product_34Product_50Product_21Product_36Product_1Product_18,Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2Region_2,7934.159613603989,672.0,2022-01-102022-01-152022-01-162022-01-242022-01-252022-02-082022-02-172022-02-282022-03-222022-03-302022-04-152022-04-182022-05-032022-05-182022-06-282022-07-062022-07-142022-07-192022-07-202022-08-052022-08-142022-09-172022-10-012022-10-072022-11-152022-11-252022-12-112022-12-122022-12-262023-01-152023-01-212023-01-222023-02-112023-02-282023-03-102023-03-152023-03-202023-04-142023-04-242023-05-122023-05-292023-06-202023-08-042023-08-052023-09-112023-09-202023-09-212023-10-022023-10-142023-11-032023-12-182023-12-202023-12-312024-01-172024-02-062024-02-212024-02-222024-02-232024-03-072024-03-242024-04-042024-04-102024-06-032024-06-052024-06-192024-06-252024-07-122024-07-202024-07-31,931506341048212449172423343852920345433545483672394626292319522147194635435212394414491727251343244116163230314134502136118,76377.1792289886
3,Product_46Product_31Product_20Product_2Product_36Product_31Product_18Product_17Product_13Product_47Product_35Product_33Product_30Product_45Product_21Product_28Product_12Product_16Product_23Product_14Product_18Product_2Product_9Product_50Product_1Product_5Product_30Product_2Product_41Product_34Product_34Product_41Product_9Product_5Product_38Product_3Product_40Product_26Product_23Product_39Product_27Product_19Product_46Product_50Product_46Product_26Product_10Product_19Product_37Product_32Product_7Product_38Product_38Product_28Product_9Product_4Product_30Product_25Product_1Product_36Product_29Product_34Product_20Product_32Product_5Product_42Product_25Product_11Product_48Product_41Product_20Product_48Product_18Product_30Product_47Product_16Product_21Product_45,Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3Region_3,6987.602519123034,728.0,2022-01-032022-01-072022-01-112022-01-132022-02-022022-02-252022-03-072022-03-142022-04-052022-04-132022-04-162022-04-232022-05-092022-05-162022-05-282022-06-162022-06-222022-06-302022-08-202022-08-212022-09-072022-10-172022-10-262022-10-272022-11-092022-11-122022-12-052022-12-162023-01-012023-01-082023-01-162023-01-262023-01-302023-02-182023-03-092023-03-242023-03-282023-04-032023-05-012023-05-132023-05-202023-05-282023-06-142023-06-152023-07-122023-08-152023-08-232023-08-312023-09-082023-09-102023-09-232023-09-252023-10-092023-10-132023-11-102023-11-142023-11-172023-11-242023-12-132024-01-022024-01-072024-02-022024-02-032024-02-102024-02-122024-02-172024-03-052024-03-202024-03-222024-04-242024-05-022024-06-072024-06-182024-06-232024-07-182024-07-192024-08-212024-09-03,4631202363118171347353330452128121623141829501530241343441953834026233927194650462610193732738382894302513629342032542251148412048183047162145,61480.475808015515
4,Product_1Product_1Product_17Product_50Product_31Product_48Product_37Product_22Product_32Product_41Product_47Product_35Product_1Product_36Product_45Product_24Product_4Product_40Product_15Product_19Product_22Product_10Product_44Product_31Product_17Product_19Product_35Product_31Product_5Product_27Product_10Product_32Product_19Product_7Product_18Product_49Product_49Product_40Product_34Product_35Product_26Product_33Product_6Product_7Product_2Product_27Product_5Product_30Product_32Product_44Product_37Product_2Product_46Product_26Product_25Product_17Product_26Product_25Product_46Product_23Product_42Product_7Product_50Product_34Product_25Product_50Product_50Product_29Product_50Product_10Product_31Product_28Product_50Product_39Product_8Product_45Product_15Product_43Product_21Product_4Product_22Product_15Product_31Product_6Product_6Product_31Product_6Product_4Product_48Product_1,Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4Region_4,8642.60654506235,831.0,2022-01-122022-01-142022-01-182022-02-012022-02-182022-02-202022-03-152022-03-202022-03-212022-04-172022-05-012022-05-192022-05-212022-06-272022-07-082022-07-212022-07-272022-07-302022-08-062022-09-022022-09-052022-09-112022-09-192022-09-202022-09-252022-09-272022-09-292022-10-132022-10-162022-10-182022-10-222022-10-282022-12-192022-12-272023-01-122023-01-202023-02-252023-02-262023-03-082023-03-212023-04-022023-04-072023-04-102023-04-262023-05-042023-05-152023-05-252023-06-122023-07-032023-07-112023-08-092023-08-172023-08-182023-09-032023-09-062023-09-072023-09-092023-09-162023-09-302023-10-012023-10-102023-10-282023-11-152023-11-252023-12-072023-12-212024-01-092024-01-202024-01-212024-01-252024-02-042024-02-192024-03-082024-03-262024-04-112024-04-272024-04-292024-05-062024-05-142024-05-272024-05-312024-07-132024-07-212024-07-222024-08-022024-08-042024-08-092024-08-232024-09-092024-09-21,11175031483722324147351364524440151922104431171935315271032197184949403435263367227530324437246262517262546234275034255050295010312850398451543214221531663164481,74844.39277747854
5,Product_33Product_13Product_48Product_17Product_18Product_11Product_23Product_35Product_20Product_41Product_37Product_23Product_50Product_39Product_40Product_16Product_39Product_17Product_13Product_10Product_5Product_13Product_48Product_38Product_17Product_23Product_9Product_11Product_36Product_42Product_18Product_1Product_43Product_5Product_4Product_44Product_32Product_11Product_45Product_4Product_14Product_37Product_16Product_15Product_45Product_25Product_6Product_27Product_27Product_29Product_29Product_48Product_32Product_33Product_43Product_45Product_42Product_21Product_31Product_15Product_38Product_40Product_44Product_29Product_16Product_48Product_16Product_49Product_47Product_31Product_16Product_29Product_24Product_9Product_36Product_12Product_27Product_4Product_21Product_21Product_20Product_40Product_11Product_14,Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5Region_5,8166.966204991088,750.0,2022-01-202022-02-052022-02-152022-02-212022-03-092022-03-122022-03-232022-03-292022-03-312022-04-142022-05-052022-05-102022-05-112022-05-132022-05-142022-05-272022-06-012022-07-122022-07-242022-08-092022-08-102022-08-262022-09-182022-11-052022-11-102022-11-212022-12-142022-12-282023-01-032023-01-092023-01-192023-02-122023-02-212023-03-042023-03-192023-03-252023-03-292023-04-012023-04-152023-04-162023-04-192023-04-212023-05-072023-05-262023-05-302023-06-102023-06-262023-07-042023-07-142023-07-192023-07-252023-08-012023-08-062023-08-212023-08-282023-09-192023-10-182023-10-212023-10-232023-10-302023-11-122023-11-132023-11-182023-11-292023-12-232023-12-252024-01-062024-01-222024-02-092024-02-272024-03-302024-04-072024-04-162024-05-042024-05-302024-06-012024-06-022024-06-262024-06-282024-06-302024-07-162024-08-142024-08-292024-09-05,331348171811233520413723503940163917131051348381723911364218143544432114541437161545256272729294832334345422131153840442916481649473116292493612274212120401114,71982.9448675834
6,Product_17Product_43Product_33Product_28Product_46Product_49Product_3Product_27Product_5Product_48Product_15Product_29Product_25Product_37Product_24Product_39Product_17Product_28Product_24Product_41Product_6Product_1Product_17Product_9Product_36Product_11Product_20Product_44Product_12Product_39Product_13Product_5Product_35Product_33Product_13Product_11Product_1Product_34Product_28Product_8Product_5Product_5Product_18Product_5Product_48Product_8Product_31Product_39Product_30Product_6Product_19Product_34Product_41Product_14Product_10Product_39Product_46Product_13Product_19Product_7Product_42Product_19Product_46Product_20Product_26Product_8Product_42Product_43Product_11Product_50Product_16Product_13Product_40Product_34,Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6Region_6,5810.179363844489,680.0,2022-01-052022-01-172022-01-212022-02-142022-02-162022-02-222022-02-232022-03-112022-03-282022-04-012022-04-032022-04-042022-04-062022-04-192022-04-222022-05-072022-05-292022-06-172022-06-192022-07-112022-07-292022-08-022022-08-162022-08-272022-09-082022-09-142022-10-062022-11-032022-11-082022-11-172022-11-232022-12-022022-12-042022-12-222023-01-252023-01-272023-01-292023-03-122023-03-182023-04-222023-04-292023-05-032023-05-182023-05-242023-05-272023-06-162023-06-222023-07-102023-08-032023-08-162023-08-242023-09-262023-10-222023-11-042023-11-052023-11-192023-12-162023-12-222024-01-132024-01-182024-01-192024-01-242024-01-272024-01-282024-03-092024-03-162024-04-022024-05-172024-05-182024-06-092024-07-032024-08-122024-08-282024-09-04,1743332846493275481529253724391728244161179361120441239135353313111342885518548831393061934411410394613197421946202684243115016134034,53692.38714560439
7,Product_18Product_11Product_44Product_5Product_6Product_4Product_25Product_47Product_33Product_31Product_43Product_45Product_27Product_41Product_29Product_14Product_47Product_48Product_30Product_9Product_49Product_27Product_20Product_24Product_13Product_44Product_10Product_23Product_43Product_35Product_30Product_30Product_8Product_18Product_5Product_43Product_33Product_48Product_14Product_15Product_49Product_5Product_19Product_32Product_43Product_23Product_25Product_41Product_2Product_45Product_29Product_43Product_23Product_8Product_32Product_37Product_23Product_7Product_16Product_29Product_6Product_13Product_40,Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7Region_7,5248.256574314574,527.0,2022-01-082022-01-272022-04-082022-04-102022-04-112022-04-272022-05-022022-05-042022-05-202022-06-022022-06-252022-07-282022-08-122022-08-152022-08-182022-08-192022-09-092022-10-022022-10-082022-10-112022-10-252022-11-242022-11-302022-12-092022-12-312023-01-062023-01-112023-02-092023-03-112023-03-162023-04-082023-04-172023-05-142023-06-082023-07-052023-07-132023-07-152023-07-242023-07-292023-08-122023-09-282023-10-122023-10-152023-11-072023-11-212023-11-262023-12-042023-12-062023-12-242024-02-112024-02-142024-02-162024-03-142024-03-212024-04-032024-04-182024-05-092024-05-112024-07-052024-07-302024-08-192024-08-202024-09-12,1811445642547333143452741291447483094927202413441023433530308185433348141549519324323254124529432383237237162961340,41735.2620007215
8,Product_14Product_27Product_28Product_24Product_4Product_12Product_5Product_40Product_28Product_4Product_9Product_2Product_38Product_46Product_5Product_4Product_37Product_18Product_15Product_22Product_6Product_41Product_13Product_5Product_19Product_44Product_44Product_48Product_35Product_10Product_5Product_16Product_31Product_8Product_32Product_40Product_37Product_19Product_5Product_17Product_33Product_16Product_15Product_25Product_28Product_19Product_4Product_4Product_42Product_3Product_23Product_33Product_47Product_27Product_17Product_17Product_30Product_13Product_1Product_29Product_37Product_28Product_22Product_22Product_24Product_50Product_5Product_8Product_31Product_22Product_7Product_49Product_23Product_33Product_29Product_15Product_37Product_44Product_21Product_35,Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8Region_8,8070.91471424774,680.0,2022-01-232022-01-292022-01-302022-02-072022-02-102022-03-012022-03-242022-05-312022-06-052022-06-092022-06-142022-06-202022-06-212022-07-132022-07-172022-07-262022-08-282022-09-102022-10-142022-10-152022-12-032022-12-082022-12-102023-01-042023-01-142023-02-062023-02-192023-03-062023-03-072023-03-262023-04-042023-04-122023-04-182023-05-052023-05-092023-05-172023-06-032023-06-132023-06-172023-06-182023-06-252023-07-022023-07-072023-07-202023-07-282023-08-132023-09-052023-09-122023-09-132023-10-032023-10-072023-11-112023-11-272023-12-052024-01-102024-01-122024-03-132024-03-182024-04-282024-05-152024-05-202024-05-212024-05-242024-06-042024-06-102024-06-122024-06-152024-06-162024-06-242024-07-012024-07-142024-07-272024-08-062024-08-102024-08-112024-08-162024-08-182024-08-302024-09-062024-09-26,142728244125402849238465437181522641135194444483510516318324037195173316152528194442323334727171730131293728222224505831227492333291537442135,69287.19625199362
9,Product_16Product_13Product_43Product_1Product_2Product_33Product_33Product_26Product_27Product_3Product_22Product_16Product_42Product_37Product_48Product_47Product_36Product_40Product_38Product_4Product_23Product_49Product_19Product_50Product_43Product_3Product_18Product_44Product_33Product_41Product_47Product_33Product_18Product_29Product_40Product_4Product_32Product_30Product_50Product_10Product_13Product_21Product_37Product_2Product_25Product_45Product_4Product_21Product_38Product_35Product_12Product_13Product_12Product_14Product_25Product_22Product_47Product_31Product_37Product_13Product_29Product_10Product_34Product_16Product_38Product_4Product_5Product_15Product_42Product_9Product_19Product_21Product_26Product_50Product_28Product_44Product_40Product_46Product_24Product_34Product_4Product_24Product_3Product_10Product_30Product_30Product_40Product_6Product_20Product_31Product_15Product_33Product_44Product_42Product_7,Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9Region_9,9843.05010989011,882.0,2022-01-092022-01-262022-02-032022-02-042022-02-062022-02-112022-02-262022-03-082022-03-172022-05-122022-05-262022-06-032022-06-072022-06-082022-06-102022-06-112022-06-242022-07-022022-07-052022-07-102022-07-252022-07-312022-08-012022-08-072022-08-312022-09-012022-09-122022-09-212022-09-242022-09-282022-10-052022-10-192022-11-132022-11-202022-12-152022-12-302023-01-102023-01-282023-01-312023-02-022023-02-082023-02-152023-02-162023-02-222023-03-032023-03-222023-04-052023-04-232023-04-252023-05-232023-06-062023-06-072023-06-212023-07-012023-07-082023-07-092023-08-022023-08-202023-08-302023-09-142023-09-182023-10-062023-11-012023-11-062023-12-092023-12-122023-12-292024-01-162024-01-262024-01-302024-02-072024-02-082024-02-152024-02-252024-03-232024-04-082024-04-092024-04-172024-04-232024-04-302024-05-082024-05-232024-05-282024-06-142024-06-172024-07-282024-08-082024-08-132024-08-252024-09-012024-09-072024-09-082024-09-112024-09-152024-09-20,1613431233332627322164237484736403842349195043318443341473318294043230501013213722545421383512131214252247313713291034163845154291921265028444046243442431030304062031153344427,89362.05692307692
